Provinsi,gabungan_pendudukmiskin,TPT,NEET_usiamuda,tenagakerjaformal,gabungan_HLS,gabungan_RLS,rasio_murid_guru_SMA,rasio_murid_guru_SMK,rasio_murid_guru_SD,rasio_murid_guru_SMP,rasio_murid_sekolah_SMA,rasio_murid_sekolah_SMK,rasio_murid_sekolah_SD,rasio_murid_sekolah_SMP,cluster,PC1,PC2
ACEH,14.056999999999999,14.510499999999999,27.094,38.784000000000006,14.434999999999999,9.594,9.723979979029798,7.795911075236043,9.98646456739705,8.494778906556917,253.2310318879301,248.4389844097344,139.1170017566648,159.25791767706113,2,-4.029164355923099,1.8658213984337237
BALI,4.179,13.6155,10.805,47.194,13.591,9.423,16.04249349427442,16.22034841945347,15.049785378074002,16.904187336213326,500.8366194012,535.2868986681012,159.06611125523338,376.18983210046497,0,4.218731580604491,1.922545824363557
BANTEN,6.058,13.1715,26.024,53.105999999999995,13.097,9.190000000000001,17.793942342932283,18.303565984482592,20.81076946946058,18.613462515692266,368.62027371337746,349.00510245057086,259.5076460423424,278.7728288799798,0,4.174754880916958,0.5695263204858724
BENGKULU,13.672999999999998,14.0,21.308,33.07,13.89,9.029,12.808958666900272,9.822596737010354,11.667715645212166,10.347786542543966,365.53613954919194,288.8670705217113,139.36009097969827,189.01313357935197,2,-1.89938460873888,0.8486144460352866
DI YOGYAKARTA,11.116,15.125625000000003,10.782,46.077999999999996,15.103749999999996,9.874,14.411972385900754,14.08954051297933,13.375742841326357,14.820163114393306,351.7366364389589,433.8384218642394,146.88565051662258,291.9818023681251,0,1.084154198374389,2.8827674268757884
DKI JAKARTA,4.432,13.366,16.234,63.138,13.34,11.408,15.922201222834698,16.885416223801027,19.211643930576855,18.20526259211939,377.4941388242679,351.4938232898904,262.8961868910934,331.1403380414235,0,4.406087392992903,2.085596544610691
GORONTALO,14.655000000000001,13.582999999999998,24.896,37.263999999999996,13.338,8.136,15.448954718319133,9.455821876264421,12.673030134626005,9.882336396198717,443.1864217187182,284.9382583284629,116.73724299476433,124.38604100452396,2,-1.706326663621047,0.1417757186238032
JAMBI,7.468000000000001,13.322999999999999,21.610000000000003,40.532,13.219999999999999,8.784,13.539203944906092,11.182858852509654,13.122208158077338,10.479667213876837,330.6795887286512,277.1860994060859,149.37852453427095,170.788611290677,2,-1.0126970017563774,0.34963151002081294
JAWA BARAT,7.598999999999999,12.8055,25.666000000000004,45.257999999999996,12.763,8.843,19.12084384276803,18.46572065430012,20.98704477428634,18.88924546623043,463.78844913859376,370.1997350152511,229.2070664497356,308.574978002183,0,4.7176088246251915,-0.043450295986120636
JAWA TENGAH,10.541,12.966999999999999,19.27,40.128,12.906,7.978,17.380884999652253,17.742589714488812,15.366092136559214,17.124319071965907,500.8366194012,530.1061926540372,140.0982780214377,351.5032810455076,0,3.785479874621968,0.21920970357734526
JAWA TIMUR,10.171000000000001,13.516499999999999,19.23,37.434000000000005,13.438999999999998,8.146,15.980621715002277,16.095732052578832,13.8744204411742,15.311439200203784,361.6561699169753,367.1752193533142,134.31897180834295,247.4302296235528,0,1.204787746434214,0.1666277233855323
KALIMANTAN BARAT,6.565,12.905000000000001,22.698,41.652,12.818000000000001,7.698,15.848837290292604,16.44389239198711,14.07855339490185,13.747334931073306,284.2312778325776,336.95377170688107,126.57633930075535,169.00182021247238,0,0.5061102478039814,-0.5697036356379162
KALIMANTAN SELATAN,4.277,12.975999999999999,20.512,44.156,12.922,8.556999999999999,13.658796406042256,13.979504308997559,11.804401100612258,11.96619632451704,330.9608926202879,455.43673896231724,121.42356732603434,180.77675231940648,0,0.20439798049215765,0.6193247806217987
KALIMANTAN TENGAH,5.16,12.772499999999999,23.528,48.332,12.805000000000001,8.776,12.168853748161226,10.78106320031104,10.618676733722756,10.316085920796244,254.76102060996428,244.69870807500607,104.32654845140428,123.49866422595161,2,-2.1936786729640683,0.1897959416723638
KALIMANTAN TIMUR,5.943,14.027000000000001,19.588,55.80800000000001,13.968,10.0,15.393220938352282,15.754806266033839,15.719249230133121,14.710997378695234,350.18472427640404,389.70606197342585,216.79275882683768,235.00890017058873,0,2.1062232015497613,2.2374296865414873
KALIMANTAN UTARA,6.343,13.396,18.802,50.006,13.254,9.459999999999999,13.17358104680714,11.955067237200504,12.964460265546894,11.598952518884095,275.7120979221447,322.3639705882353,164.32652013568392,171.81320341755017,2,-0.4875111214966667,0.9274363916668922
KEP. BANGKA BELITUNG,4.707,12.3925,21.394,49.188,12.328999999999999,8.3,17.308711578354426,14.634784292636942,16.66778323337771,16.43176085204108,422.52761190213425,428.14190531852717,193.78696481200043,274.58824370268684,0,3.3198111050662646,-0.23315000009805428
KEP. RIAU,5.437,13.253499999999999,16.176,64.08500000000001,13.159,10.443000000000001,15.340485067293926,15.366315457862362,16.0388547591242,15.65840620833637,339.49383449542034,367.72396590864514,231.93834067881158,241.20803338069248,0,2.7143727127678967,1.624947039805707
LAMPUNG,11.049,12.924000000000001,21.528,30.53,12.84,8.296000000000001,14.494021435279327,14.318201162092143,14.036909074768584,13.84638060982282,328.4581002884743,314.49831078299735,169.30449345005337,230.8113154091126,0,0.34593479761104595,-0.8276397464843104
MALUKU,16.167,14.253499999999999,30.045499999999997,35.154,14.126999999999999,10.243,10.589420626811897,7.875342941550509,11.241798826458787,8.527630514030587,240.6406060016321,181.72026812032405,113.14843368145553,129.36146447368418,2,-4.54856389047973,1.376382992516399
MALUKU UTARA,6.254,13.738999999999999,28.064,35.092,13.746,9.287,11.559981043059679,9.175736670636514,11.093823721810232,8.656100326777096,199.45921508969056,124.52041979663834,106.33906885373617,114.59595997513377,2,-3.940479806879883,0.7035800828608368
NUSA TENGGARA BARAT,13.115,13.98,19.268,27.903999999999996,14.02,7.734,12.032935489991617,10.144585284481703,11.78297466957879,8.017836259442664,323.79709131519485,243.27349214075699,154.88001103597662,166.43734478826474,2,-2.572991575206406,0.00039613536584610486
NUSA TENGGARA TIMUR,19.438750000000002,13.447,18.116,26.504,13.35,7.937,12.284511344146926,11.240976334342738,12.026304792838907,10.342722229758753,334.00049147519974,299.9101528129214,126.77190673713051,175.01200071942577,2,-2.20135913669386,-0.9163292632177893
PAPUA,11.2245,11.505624999999998,16.2845,27.409750000000003,11.443750000000001,7.6137500000000005,14.635532611600215,11.128288185725035,17.45597102539284,13.82435751844842,288.91885103860295,267.75935965079435,154.02355906606374,190.73298781834865,1,0.16745604363242222,-3.499895600263847
PAPUA BARAT,12.500874999999999,12.168875,17.938,27.113,12.13725,7.175750000000001,12.902132168604776,11.279170652747675,13.192452953330497,11.14417388944169,246.9603140926275,305.0,121.8707667956468,163.91961700222328,1,-1.5481413837591949,-2.5741270711877733
PAPUA BARAT DAYA,12.0525,12.474374999999998,17.625999999999998,29.801,12.39825,7.45175,11.31823728992884,11.621178467422213,12.423456711396119,10.049771675084878,203.43738459318828,255.70350877192982,113.44631143059186,141.4160736993541,2,-2.4660949293339764,-2.14411702319885
PAPUA PEGUNUNGAN,11.97825,11.505624999999998,11.318499999999998,15.736250000000007,11.443750000000001,6.001250000000001,16.022798563605285,15.331174024115876,21.050701396449988,18.782778380145224,244.3308934532212,231.82992111940092,198.42307130207615,205.40612731617867,1,1.9083736204326918,-5.353126612902252
PAPUA SELATAN,11.5675,11.505624999999998,14.628499999999999,22.897750000000002,11.443750000000001,7.011750000000001,14.795455650534407,11.182196494746616,20.801692182448292,14.353390514370616,323.3563568103164,274.53715556916165,164.41724797805165,207.96258494096932,1,0.8505855452842155,-4.125529190850439
PAPUA TENGAH,11.97825,11.505624999999998,15.9225,15.736250000000007,11.443750000000001,6.0607500000000005,15.452976141355824,11.649655628332479,21.050701396449988,16.249582616527157,291.0252564242161,232.6073255038022,226.06104583099744,225.11379587769778,1,1.3445614868851323,-4.996704118359235
RIAU,6.659000000000001,13.5255,21.996,47.44199999999999,13.431000000000001,9.354000000000001,14.149711488045366,12.585675254691836,14.70075652978042,12.526735794556838,369.71158446153197,349.47499373509487,203.12419804137159,207.73591565864476,0,0.6971711956213543,1.2093748116665535
SULAWESI BARAT,11.23,13.124,21.278,26.778,13.004,8.153,12.443682752164369,9.867574874389714,10.08646104479008,9.265550968557777,323.5704327487674,195.34274005313205,108.38391570166884,138.94217893544345,2,-2.916508695631222,-0.7731045371985727
SULAWESI SELATAN,8.286,13.743500000000001,21.895999999999997,37.898,13.633,8.748,14.439329214211147,11.834487939868092,12.49272489622621,11.278340119776285,377.61149965610684,299.7188717856783,136.80075585858353,196.87800037505704,2,-0.6542996033775699,0.8857835880653199
SULAWESI TENGAH,11.888,13.616499999999998,21.9,33.742000000000004,13.463,8.998,13.96419468571454,10.752874621528502,11.033523368113727,9.659585573651379,338.6546426603734,231.31391167067218,106.32340675126962,132.6457121987768,2,-2.3437637015195913,0.32871981362901076
SULAWESI TENGGARA,11.122,13.894,20.613999999999997,37.982,13.818000000000001,9.334,11.332406569938087,8.701390603273836,10.836899145617927,8.432371010917809,298.49096789760034,209.66599805546133,125.68277715630106,150.09794096765756,2,-3.1246670795808873,0.9228287086467034
